Comment,Designator,Footprint,LCSC,Quantity,Link, ,Unit Price,Total Price
0.1uF,C24,C_0402_1005Metric,C15195,1,https://www.lcsc.com/product-detail/C15195.html,,0.0025,0.025
100K,R14,R_0402_1005Metric,C25741,1,https://www.lcsc.com/product-detail/C25741.html,,"$ 0.0011
",0.11
100nF,"C11,C12,C13,C14,C18,C19,C7",C_0402_1005Metric,C1525,7,https://www.lcsc.com/product-detail/C1525.html,,0.0031,0.031
10uF,C22,C_0402_1005Metric,C15525,1,https://www.lcsc.com/product-detail/C15525.html,,0.0199,1.99
15pF,"C1,C2",C_0402_1005Metric,C1548,2,https://www.lcsc.com/product-detail/C1548.html,,0.0022,0.22
1K,"R4,R8,R9",R_0402_1005Metric,C11702,3,https://www.lcsc.com/product-detail/C11702.html,,0.0011,0.11
1uF,"C20,C3",C_0402_1005Metric,C52923,2,https://www.lcsc.com/product-detail/C52923.html,,0.0143,0.72
22,"R1,R2",R_0402_1005Metric,C25092,2,https://www.lcsc.com/product-detail/C25092.html,,0.0009,0.09
22uF,C21,C_0402_1005Metric,C105226,1,https://www.lcsc.com/product-detail/C105226.html,,0.075,0.38
25K,R13,R_0603_1608Metric,C2828637,1,https://www.lcsc.com/product-detail/C2828637.html,,0.035,0.7
3.3nF,C23,C_0402_1005Metric,C26404,1,https://www.lcsc.com/product-detail/C26404.html,,0.006,0.12
3.3u,L1,L_0402_1005Metric,C48946153,1,https://www.lcsc.com/product-detail/C48946153.html,,0.0425,0.43
33,R6,R_0402_1005Metric,C25105,1,https://www.lcsc.com/product-detail/C25105.html,,0.001,0.1
3K,R10,R_0402_1005Metric,C25559,1,https://www.lcsc.com/product-detail/C25559.html,,0.0007,0.07
4.4K,R11,R_0402_1005Metric,C2088643,1,https://www.lcsc.com/product-detail/C2088643.html,,0.3144,0.31
4.7uF,"C10,C4,C5,C6,C8,C9",C_0402_1005Metric,C23733,6,https://www.lcsc.com/product-detail/C23733.html,,0.0192,0.96
5.1K,"R5,R7",R_0402_1005Metric,C25905,2,https://www.lcsc.com/product-detail/C25905.html,,0.0009,0.09
8K,R12,R_0603_1608Metric,C2924154,1,https://www.lcsc.com/product-detail/C2924154.html,,0.0142,0.71
BQ24230RGT,U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,C138361,1,https://www.lcsc.com/product-detail/C138361.html,,2.2652,2.27
Conn_01x02_Pin,J3,PinHeader_1x02_P2.54mm_Vertical,C52016390,1,https://www.lcsc.com/product-detail/C52016390.html,,0.013,0.65
Conn_01x06_Pin,J1,PinHeader_1x06_P2.54mm_Vertical,C293309,1,https://www.lcsc.com/product-detail/C293309.html,,1.1299,1.13
Conn_01x10_Pin,"J10,J6",PinHeader_1x10_P2.54mm_Vertical,C2925557,2,https://www.lcsc.com/product-detail/C2925557.html,,0.1279,0.64
Conn_01x12_Pin,J4,PinSocket_1x12_P2.54mm_Vertical,C293309,1,https://www.lcsc.com/product-detail/C293309.html,,1.1299,1.13
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1,https://www.lcsc.com/product-detail/C20625731.html,,0.2956,1.48
L,L2,L_0402_1005Metric,C49067,1,https://www.lcsc.com/product-detail/C383389.html,,0.0564,0.56
RP2354B,U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,C39843328,1,https://www.lcsc.com/product-detail/C39843328.html,,1.5739,1.57
TPS62130A,U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,C2070623,1,https://www.lcsc.com/product-detail/C2070623.html,,1.3236,1.32
USBLC6-2P6,U2,SOT-666,C53059594,1,https://www.lcsc.com/product-detail/C53059594.html,,0.08,0.4
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,https://www.lcsc.com/product-detail/C165948.html,,0.1857,0.93
PCB Milling,N/A,N/A,N/A,1,https://jlcpcb.com,,5.31,5.31
,,,,,,,14.044,24.556
