Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15pF,C_0402_1005Metric,250.698,-150.7464,90.0,top
C10,4.7uF,C_0402_1005Metric,261.86,-133.47,90.0,top
C11,100nF,C_0402_1005Metric,245.889411,-145.289411,-45.0,top
C12,100nF,C_0402_1005Metric,245.0,-134.48,90.0,top
C13,100nF,C_0402_1005Metric,246.166002,-134.48,90.0,top
C14,100nF,C_0402_1005Metric,247.2,-134.48,90.0,top
C18,100nF,C_0402_1005Metric,260.322,-132.9944,0.0,top
C19,100nF,C_0402_1005Metric,244.418629,-146.788477,-45.0,top
C2,15pF,C_0402_1005Metric,255.998001,-150.766399,-90.0,top
C20,1uF,C_0402_1005Metric,245.139879,-146.095512,-45.0,top
C21,22uF,C_0402_1005Metric,260.839619,-129.845001,90.0,top
C22,10uF,C_0402_1005Metric,257.283619,-122.761,0.0,top
C23,3.3nF,C_0402_1005Metric,255.8,-123.62,-90.0,top
C24,0.1uF,C_0402_1005Metric,259.188617,-122.760999,0.0,top
C3,1uF,C_0402_1005Metric,249.718212,-124.12381,135.0,top
C4,4.7uF,C_0402_1005Metric,246.788001,-119.999799,-90.0,top
C5,4.7uF,C_0402_1005Metric,247.3,-117.9,0.0,top
C6,4.7uF,C_0402_1005Metric,245.329389,-139.429811,-135.0,top
C7,100nF,C_0402_1005Metric,243.976211,-140.782989,-135.0,top
C8,4.7uF,C_0402_1005Metric,259.79,-134.39,-90.0,top
C9,4.7uF,C_0402_1005Metric,258.33,-132.87,180.0,top
J1,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,246.25,-127.3,-90.0,top
J10,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,240.5888,-142.4432,180.0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,254.22,-110.933,0.0,top
J3,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,243.5,-120.43,0.0,top
J4,Conn_01x12_Pin,PinSocket_1x12_P2.54mm_Vertical,253.1872,-157.988,-90.0,top
J6,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,265.0,-142.43,0.0,top
L1,3.3u,L_0402_1005Metric,260.83,-134.635,-90.0,top
L2,L,L_0402_1005Metric,256.75,-128.960999,-90.0,top
R1,22,R_0402_1005Metric,255.08,-132.12,-90.0,top
R10,3K,R_0402_1005Metric,251.202577,-123.154423,-135.0,top
R11,4.4K,R_0402_1005Metric,252.122001,-119.544598,90.0,top
R12,8K,R_0603_1608Metric,261.11,-127.4,90.0,top
R13,25K,R_0603_1608Metric,258.82,-130.07,0.0,top
R14,100K,R_0402_1005Metric,259.186619,-128.349,0.0,top
R2,22,R_0402_1005Metric,254.08,-132.12,-90.0,top
R4,1K,R_0402_1005Metric,256.3,-148.490001,90.0,top
R5,5.1K,R_0402_1005Metric,253.0,-115.8,-45.0,top
R6,33,R_0402_1005Metric,258.299999,-133.91,0.0,top
R7,5.1K,R_0402_1005Metric,256.15,-115.9,-90.0,top
R8,1K,R_0402_1005Metric,247.169,-122.742999,-45.0,top
R9,1K,R_0402_1005Metric,246.386625,-123.484623,-45.0,top
U1,RP2354B,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,253.03,-139.67,0.0,top
U2,USBLC6-2P6,SOT-666,254.724,-119.65,-90.0,top
U3,BQ24230RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,249.451002,-120.645499,180.0,top
U4,TPS62130A,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,258.202618,-125.720499,0.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,253.4,-149.15,0.0,top
