Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,127.0736,-74.2696,180.0,top
C2,100nF,C_0402_1005Metric,127.0736,-72.2996,180.0,top
D10,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,203.22,-66.68,-90.0,top
D11,PWR,LED_0603_1608Metric,236.15,-70.8,-135.0,top
D9,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,208.952,-66.751,90.0,top
H1,MountingHole,MountingHole_2.2mm_M2,82.423,-106.934,0.0,top
H2,MountingHole,MountingHole_2.2mm_M2,82.5,-62.5,0.0,top
H3,MountingHole,MountingHole_2.2mm_M2,242.0,-62.5,0.0,top
H4,MountingHole,MountingHole_2.2mm_M2,242.0,-106.95,0.0,top
J1,Conn_01x10,PinSocket_1x10_P2.54mm_Vertical,175.7888,-83.0326,0.0,bottom
J10,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,242.05,-70.03,180.0,bottom
J11,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Horizontal,190.8914,-106.68,90.0,top
J12,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Horizontal,172.091933,-106.68,90.0,top
J13,Conn_01x07_Pin,PinSocket_1x07_P2.54mm_Vertical,166.58,-102.52,270.0,bottom
J2,Conn_01x10,PinSocket_1x10_P2.54mm_Vertical,147.4932,-83.0072,0.0,bottom
J3,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,161.7172,-98.0186,90.0,bottom
J4,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,169.261,-68.0212,90.0,bottom
J5,Conn_01x08_Pin,PinSocket_1x08_P2.54mm_Horizontal,152.39,-61.9,-90.0,top
J6,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,235.055,-74.25,90.0,bottom
J7,Conn_01x08_Pin,PinSocket_1x08_P2.54mm_Horizontal,177.009999,-61.9,-90.0,top
J8,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Horizontal,153.292467,-106.68,90.0,top
J9,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Horizontal,134.493,-106.68,90.0,top
R1,1K,R_0402_1005Metric,238.99,-69.75,0.0,top
SW1,SW_Push,SW_PUSH-12mm,205.259,-83.907,0.0,top
SW2,SW_Push,SW_PUSH-12mm,220.753,-98.385,0.0,top
SW3,SW_Push,SW_PUSH-12mm,236.43,-83.66,0.0,top
SW4,SW_Push,SW_PUSH-12mm,220.86,-69.22,0.0,top
SW5,SW_Push,SW_PUSH-12mm,104.574,-98.31,0.0,top
SW6,SW_Push,SW_PUSH-12mm,89.054,-83.86,0.0,top
SW7,SW_Push,SW_PUSH-12mm,120.024,-83.76,0.0,top
SW8,SW_Push,SW_PUSH-12mm,104.5378,-69.25,0.0,top
SW9,SW_SPDT,SW_SPST_B3S-1100,234.2,-66.3,90.0,top
U5,CR2013-MI2120,CR2013-MI2120,162.6624,-84.2,0.0,top
U7,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,205.8567,-102.9596,180.0,top
